sirket_adi,kap_id,api_url
"Derlüks  Yatırım Holding A.Ş.","8acae2c469cee2a4016a5492160c43c3","https://www.kap.org.tr/tr/api/company-detail/sgbf-data/8acae2c469cee2a4016a5492160c43c3/ODA/365"
"Atılım Faktoring A.Ş.","4028e4a140f2ed7101413af757590466","https://www.kap.org.tr/tr/api/company-detail/sgbf-data/4028e4a140f2ed7101413af757590466/ODA/365"
"Karsan Otomotiv Sanayii Ve Ticaret A.Ş.","4028e4a140f275530140f2e357a501f7","https://www.kap.org.tr/tr/api/company-detail/sgbf-data/4028e4a140f275530140f2e357a501f7/ODA/365"
"İş Finansal Kiralama A.Ş.","4028e4a140f2ed7101410d272d690188","https://www.kap.org.tr/tr/api/company-detail/sgbf-data/4028e4a140f2ed7101410d272d690188/ODA/365"
"Akça Kimyevi Maddeler Nakliyat Ticaret Ve Sanayi A.Ş.","8acae2c562329bd10163017c6c706bdd","https://www.kap.org.tr/tr/api/company-detail/sgbf-data/8acae2c562329bd10163017c6c706bdd/ODA/365"
"Halk Yatırım Menkul Değerler A.Ş.","4028e4a240f2ef4c01411654e5fc0479","https://www.kap.org.tr/tr/api/company-detail/sgbf-data/4028e4a240f2ef4c01411654e5fc0479/ODA/365"
"Akademi Çevre Entegre Atık Yönetimi Endüstri A.Ş.","8acae2c4991b8c31019928545a1100fe","https://www.kap.org.tr/tr/api/company-detail/sgbf-data/8acae2c4991b8c31019928545a1100fe/ODA/365"
"Koray Gayrimenkul Yatırım Ortaklığı A.Ş.","4028e4a240f2ef4c0141176f57ca04a5","https://www.kap.org.tr/tr/api/company-detail/sgbf-data/4028e4a240f2ef4c0141176f57ca04a5/ODA/365"
"Yapı Kredi Finansal Kiralama A.O.","4028e4a1413b7ef401414503a8c00095","https://www.kap.org.tr/tr/api/company-detail/sgbf-data/4028e4a1413b7ef401414503a8c00095/ODA/365"
"Deniz Yatırım Menkul Kıymetler A.Ş.","4028e4a240f2ef4c01412b0a0cb90593","https://www.kap.org.tr/tr/api/company-detail/sgbf-data/4028e4a240f2ef4c01412b0a0cb90593/ODA/365"
"İnfo Yatırım Menkul Değerler A.Ş.","4028e4a2416e696c01416edd30ca3148","https://www.kap.org.tr/tr/api/company-detail/sgbf-data/4028e4a2416e696c01416edd30ca3148/ODA/365"
"Adel Kalemcilik Ticaret Ve Sanayi A.Ş.","4028e4a240e8d16e0140e8f159dc0033","https://www.kap.org.tr/tr/api/company-detail/sgbf-data/4028e4a240e8d16e0140e8f159dc0033/ODA/365"
